"neighborhood","children","youth","working_age","preretired_age","senior","older_senior","drive_commute","passenger_commute","transit_commute","walk_commute","bike_commute","15min_commute","30min_commute","45min_commute","60min_commute","over_60min_commute","unemployment_female","employment_male","work_at_home","no_fixed_workplace","work_outside_canada","avg_total_income","avg_employment_income","avg_investment_income"
"Danforth",0.173287812952617,0.0951789778605421,0.452100144837575,0.123629215807987,0.156734947237741,0.0201738050900062,0.15983860955928,0.016035588661287,0.236912890544175,0.0305193461618043,0.0305193461618043,0.0450031036623215,0.132940202772605,0.192944340989034,0.0677632940202773,0.0393130560728326,0.000610386923236085,0.000662114628595076,0.0491413200910408,0.0486240430374509,0.00103455410717981,55225,60085,5529
"Danforth.East.York",0.175785797438882,0.0844004656577416,0.461583236321304,0.124272409778813,0.15454016298021,0.0212456344586729,0.19674039580908,0.0206635622817229,0.19615832363213,0.0247380675203725,0.0232828870779977,0.0491850989522701,0.136204889406286,0.162689173457509,0.0736321303841676,0.0456926658905704,0.000366705471478463,0.000442374854481956,0.039871944121071,0.0550058207217695,0.00174621653084983,51846,56057,5183
"Don.Valley.Village",0.150271708994122,0.121252449077668,0.438431111604007,0.11626187571624,0.173745887397878,0.0245831947062955,0.216073342944808,0.018853277143174,0.170234002439836,0.0138627037817456,0.000739344201693098,0.0386307345384644,0.108498761598462,0.110901630253965,0.0645077815977228,0.101844663783224,0.000354885216812687,0.000351188495804222,0.0332704890761894,0.05249343832021,0.00628442571439133,37379,38701,6566
"Dorset.Park",0.169979602447706,0.126184857817062,0.419349678038635,0.13318401791785,0.151181858177019,0.0315962084549854,0.223173219213694,0.0239971203455585,0.170179578450586,0.0175978882534096,0.0021997360316762,0.0561932568091829,0.106787185537735,0.11018677758669,0.070591529016518,0.0963884333879934,0.000363956325240971,0.000403951525816902,0.0165980082390113,0.060792704875415,0.00359956805183378,31692,34113,2308
"Dovercourt.Wallace.Emerson.Junction",0.122320819112628,0.107167235494881,0.540341296928328,0.107440273037543,0.123276450511945,0.0162457337883959,0.159044368600683,0.0223890784982935,0.244368600682594,0.0331740614334471,0.054061433447099,0.042320819112628,0.145665529010239,0.1819795221843,0.0834129692832764,0.0675767918088737,0.00018839590443686,0.000207508532423208,0.0417747440273038,0.0835494880546075,0.00273037542662116,39740,42687,3777
"Downsview.Roding.CFB",0.163328768686523,0.123816044733539,0.429219445395413,0.124957206436152,0.15790825059911,0.0248202670318384,0.239786602761611,0.0302407851192514,0.173599224010042,0.0131233595800525,0.000285290425653315,0.0457891133173571,0.117967591007646,0.124529270797672,0.0730343489672487,0.0998516489786603,0.000216820723496519,0.000228232340522652,0.0121248430902659,0.083732739929248,0.000855871276959945,34168,36227,3639
"Dufferin.Grove",0.109036911327959,0.0903691132795927,0.566822231650403,0.104794229953331,0.128553245651252,0.0148493848112007,0.140432753500212,0.0156979210861264,0.255409418752652,0.0509121764955452,0.0657615613067459,0.0534577853203224,0.155706406448876,0.181586762834111,0.0776410691557064,0.0657615613067459,0.000610946117946542,0.000661858294442087,0.0568519304200255,0.0835808230801867,0.00169707254985151,40588,42507,5021
"East.End.Danforth",0.174687806931388,0.103362798746551,0.467237266732145,0.13119124456293,0.12394181750152,0.0144988541228193,0.193863710771246,0.0170712314671905,0.206257892521398,0.0285300032739348,0.0170712314671905,0.0500444319723119,0.109442963378701,0.15551190309153,0.0947102567700295,0.0603339413497965,0.000364809877929002,0.000406903325382349,0.0481736120854965,0.0540199242317946,0.00210467237266732,54324,58664,7144
"Edenbridge.Humber.Valley",0.136466044415835,0.116189250080463,0.38236240746701,0.153524299967815,0.211779851947216,0.0428065658191181,0.289024782748632,0.0222079176054071,0.129385259092372,0.0112648857418732,0.00257483102671387,0.0521403282909559,0.128741551335694,0.133247505632443,0.0769230769230769,0.0663018989378822,0.000418410041841004,0.000366913421306727,0.0498873511425813,0.0611522368844545,0.00225297714837464,101551,94418,41239
"Eglinton.East",0.183526519142958,0.1374253600281,0.403055848261328,0.124034070951879,0.153890059711978,0.0245872848612575,0.172989111345276,0.0195381102915349,0.201747453459782,0.00856164383561644,0.00043905865823674,0.0412715138742536,0.0807867931155602,0.10098349139445,0.0772743238496663,0.106910783280646,0.000513698630136986,0.000430277485072006,0.0111959957850369,0.0524675096592905,0.000878117316473481,30033,31208,2526
"Elms.Old.Rexdale",0.190884094754653,0.152284263959391,0.391285956006768,0.132719966159052,0.134835025380711,0.015334179357022,0.248519458544839,0.0264382402707276,0.140651438240271,0.00740270727580372,0.00211505922165821,0.0385998307952623,0.140122673434856,0.102051607445008,0.0571065989847716,0.0893612521150592,0.000983502538071066,0.00111040609137056,0.0116328257191201,0.0703257191201354,0.00211505922165821,32012,33188,3017
"Englemount.Lawrence",0.214777400321831,0.135437153584838,0.374798855712498,0.108617915251207,0.166502771321294,0.0426872876810299,0.173878061863043,0.0118451635973538,0.176336492043626,0.0263722510280708,0.00379939209726444,0.0654836402646165,0.0923028785982478,0.121133559806901,0.0692830323618809,0.0509565528338995,0.000379939209726444,0.000406758448060075,0.0379939209726444,0.0484981226533166,0.00111746826390131,48134,44910,19050
"Eringate.Centennial.West.Deane",0.141758123520551,0.129384549171508,0.371745211964708,0.153593716376157,0.20255003227889,0.0303959543791694,0.321712933075102,0.0250161394448031,0.104637400473424,0.00968366688185926,0.00188293522702819,0.0755863998278459,0.151979771895847,0.100333548525931,0.0543361308370992,0.0828491499892404,0.000392726490208737,0.000398106305143103,0.0346998063266624,0.0562190660641274,0.00268990746718313,47002,46587,5857
"Etobicoke.West.Mall",0.143062120189061,0.12322754895341,0.424122214719784,0.135043889264011,0.173869007427414,0.0426232275489534,0.268821742066171,0.0265867656988521,0.147704253882512,0.0168804861580014,0.00548615800135044,0.0784942606347063,0.131667792032411,0.0987508440243079,0.0611917623227549,0.0987508440243079,0.000607697501688049,0.000708980418636057,0.0274307900067522,0.0641458474004051,0.00295408507765024,38255,39198,3480
"Flemingdon.Park",0.199927050563078,0.139515798112433,0.41877536132768,0.106460584507363,0.135868326266357,0.0129941184516482,0.168923539871427,0.0118542834997492,0.1759905165732,0.0184653262207632,0.00227966990379793,0.0487849359412757,0.0857155883828022,0.0911867961519172,0.0736333378926731,0.0832079514886244,0.000483290019605161,0.000474171339989969,0.019833128163042,0.0565358136141887,0.00205170291341814,28654,30763,2946
